id,name,name_2,type,sex,age,education,media,level
HBO,Home Box Office,HBO,2,99,99,99,1,2
Protic,Jovan Protic,Protic,1,1,99,2,99,2
JBayer,Dr. József Bayer,JBayer,1,1,99,2,99,2
Dubec,Milan Dubec,Dubec,1,1,2,2,99,2
Palmer,Ezra Palmer,Palmer,1,1,99,1,99,2
YAH,Yahoo!,YAH,2,99,99,99,1,2
LAPC,Los Angeles Press Club,LAPC,2,99,99,99,1,2
WWO,Westwood One,WWO,2,99,99,99,2,2
WSJ,The Wall Street Journal,WSJ,2,99,99,99,1,2
WO,work.com,WO,2,99,99,99,2,2
Hagan,Jamel Hagan,Hagan,1,1,99,1,99,2
FOCAS,Friends of County Animal Shelters,FOCAS,2,99,99,99,2,2
FBC,First Baptish Church of Teaneck,FBC,2,99,99,99,2,2
SSB,Salomon Smith Barney,SSB,2,99,99,99,2,2
IDME,Idearc Media,IDME,2,99,99,99,1,2
ADP,ADP,ADP,2,99,99,99,2,2
YO,Yodle,YO,2,99,99,99,1,2
CBSR,CBS Radio,CBSR,2,99,99,99,1,2
HAY,"haystagg, Inc.",HAY,2,99,99,99,2,2
CPA,Cerebral Palsy Alliance,CPA,2,99,99,99,2,2
XPERT,XpertHR USA,XPERT,2,99,99,99,1,2
EXP,Experiture,EXP,2,99,99,99,2,2
Meyer,Elle Meyer,Meyer,1,2,99,1,99,2
FOBA,Food Bank For New York,FOBA,2,99,99,99,2,2
NYC,New York Cares,NYC,2,99,99,99,2,2
AMNY,amNewYork,AMNY,2,99,99,99,1,2
NYP,New York Post,NYP,2,99,99,99,1,2
LIAS,Library Associate,LIAS,2,99,99,99,2,2
Rotondo,Amy Rotondo,Rotondo,1,2,99,2,99,2
MOFA,Musem of Fine Arts Boston,MOFA,2,99,99,99,2,2
Weiss,Andrea M. Weiss,Weiss,1,2,99,1,99,2
MOST,Morgan Stanley,MOST,2,99,99,99,2,2
KPMG,KPMG,KPMG,2,99,99,99,2,2
FSRS,FactSet Research Systems,FSRS,2,99,99,99,2,2
Kats,Rimma Kats,Kats,1,2,99,1,99,2
MOMA,Mobile Marketer,MOMA,2,99,99,99,1,2
Adams,Sherry Adams,Adams,1,2,99,1,99,2
SAR,Sarbakan,SAR,2,99,99,99,1,2
STN,Showtime Networks,STN,2,99,99,99,1,2
COMSYS,COMSYS,COMSYS,2,99,99,99,1,2
Baumann,Ralf Baumann ,Baumann,1,1,5,99,99,2
SSA,SSA,SSA,2,99,99,99,2,2
SIE,Siebel,SIE,2,99,99,99,2,2
PESO,PeopleSoft GmbH,PESO,2,99,99,99,2,2
Dettmers,Dr. Sebastian Dettmers,Dettmers,1,1,2,3,99,2
WGMU,Wissenschaftliche Gesellschaft für Marketing und Unternehmensführung,WGMU,2,99,99,99,2,2
Reif,Simone Reif ,Reif,1,2,4,99,99,2
COM,Comcity AG,COM,2,99,99,99,2,2
PRO,Provinzial Versicherung Kiel,PRO,2,99,99,99,2,2
DIM,Dimexx GmbH,DIM,2,99,99,99,99,2
